,year,artist,track,time,genre,week,rank,date
5854,2000, Billy Gilman,One Voice,4:07,Country,19,97,2000-10-21
274,2000, Billy Ray Cyrus,You Won't Be Lone...,3:45,Country,1,97,2000-09-23
591,2000, Billy Ray Cyrus,You Won't Be Lone...,3:45,Country,2,97,2000-09-30
908,2000, Billy Ray Cyrus,You Won't Be Lone...,3:45,Country,3,97,2000-10-07
1225,2000, Billy Ray Cyrus,You Won't Be Lone...,3:45,Country,4,92,2000-10-14
1542,2000, Billy Ray Cyrus,You Won't Be Lone...,3:45,Country,5,91,2000-10-21
1859,2000, Billy Ray Cyrus,You Won't Be Lone...,3:45,Country,6,88,2000-10-28
2176,2000, Billy Ray Cyrus,You Won't Be Lone...,3:45,Country,7,85,2000-11-04
2493,2000, Billy Ray Cyrus,You Won't Be Lone...,3:45,Country,8,80,2000-11-11
2810,2000, Billy Ray Cyrus,You Won't Be Lone...,3:45,Country,9,82,2000-11-18
3127,2000, Billy Ray Cyrus,You Won't Be Lone...,3:45,Country,10,80,2000-11-25
3444,2000, Billy Ray Cyrus,You Won't Be Lone...,3:45,Country,11,80,2000-12-02
3761,2000, Billy Ray Cyrus,You Won't Be Lone...,3:45,Country,12,89,2000-12-09
4078,2000, Billy Ray Cyrus,You Won't Be Lone...,3:45,Country,13,95,2000-12-16
285,2000, Brad Paisley,Me Neither,3:19,Country,1,87,2000-05-13
602,2000, Brad Paisley,Me Neither,3:19,Country,2,85,2000-05-20
919,2000, Brad Paisley,Me Neither,3:19,Country,3,90,2000-05-27
1236,2000, Brad Paisley,Me Neither,3:19,Country,4,92,2000-06-03
119,2000, Brad Paisley,We Danced,3:45,Country,1,71,2000-10-14
436,2000, Brad Paisley,We Danced,3:45,Country,2,68,2000-10-21
753,2000, Brad Paisley,We Danced,3:45,Country,3,52,2000-10-28
1070,2000, Brad Paisley,We Danced,3:45,Country,4,52,2000-11-04
1387,2000, Brad Paisley,We Danced,3:45,Country,5,45,2000-11-11
1704,2000, Brad Paisley,We Danced,3:45,Country,6,42,2000-11-18
2021,2000, Brad Paisley,We Danced,3:45,Country,7,39,2000-11-25
2338,2000, Brad Paisley,We Danced,3:45,Country,8,34,2000-12-02
2655,2000, Brad Paisley,We Danced,3:45,Country,9,34,2000-12-09
2972,2000, Brad Paisley,We Danced,3:45,Country,10,29,2000-12-16
3289,2000, Brad Paisley,We Danced,3:45,Country,11,36,2000-12-23
3606,2000, Brad Paisley,We Danced,3:45,Country,12,42,2000-12-30
3923,2000, Brad Paisley,We Danced,3:45,Country,13,55,2001-01-06
4240,2000, Brad Paisley,We Danced,3:45,Country,14,53,2001-01-13
4557,2000, Brad Paisley,We Danced,3:45,Country,15,57,2001-01-20
4874,2000, Brad Paisley,We Danced,3:45,Country,16,64,2001-01-27
5191,2000, Brad Paisley,We Danced,3:45,Country,17,72,2001-02-03
5508,2000, Brad Paisley,We Danced,3:45,Country,18,84,2001-02-10
5825,2000, Brad Paisley,We Danced,3:45,Country,19,83,2001-02-17
6142,2000, Brad Paisley,We Danced,3:45,Country,20,86,2001-02-24
267,2000, Brian McKnight,Stay Or Let It Go,4:32,Rock,1,95,2000-02-26
584,2000, Brian McKnight,Stay Or Let It Go,4:32,Rock,2,92,2000-03-04
901,2000, Brian McKnight,Stay Or Let It Go,4:32,Rock,3,82,2000-03-11
1218,2000, Brian McKnight,Stay Or Let It Go,4:32,Rock,4,78,2000-03-18
1535,2000, Brian McKnight,Stay Or Let It Go,4:32,Rock,5,76,2000-03-25
1852,2000, Brian McKnight,Stay Or Let It Go,4:32,Rock,6,88,2000-04-01
2169,2000, Brian McKnight,Stay Or Let It Go,4:32,Rock,7,100,2000-04-08
2486,2000, Brian McKnight,Stay Or Let It Go,4:32,Rock,8,93,2000-04-15
63,2000, Britney Spears,From The Bottom O...,4:30,Rock,1,76,2000-01-29
380,2000, Britney Spears,From The Bottom O...,4:30,Rock,2,59,2000-02-05
697,2000, Britney Spears,From The Bottom O...,4:30,Rock,3,52,2000-02-12
1014,2000, Britney Spears,From The Bottom O...,4:30,Rock,4,52,2000-02-19
1331,2000, Britney Spears,From The Bottom O...,4:30,Rock,5,14,2000-02-26
1648,2000, Britney Spears,From The Bottom O...,4:30,Rock,6,14,2000-03-04
1965,2000, Britney Spears,From The Bottom O...,4:30,Rock,7,17,2000-03-11
2282,2000, Britney Spears,From The Bottom O...,4:30,Rock,8,24,2000-03-18
2599,2000, Britney Spears,From The Bottom O...,4:30,Rock,9,33,2000-03-25
2916,2000, Britney Spears,From The Bottom O...,4:30,Rock,10,35,2000-04-01
3233,2000, Britney Spears,From The Bottom O...,4:30,Rock,11,41,2000-04-08
3550,2000, Britney Spears,From The Bottom O...,4:30,Rock,12,45,2000-04-15
3867,2000, Britney Spears,From The Bottom O...,4:30,Rock,13,54,2000-04-22
4184,2000, Britney Spears,From The Bottom O...,4:30,Rock,14,64,2000-04-29
4501,2000, Britney Spears,From The Bottom O...,4:30,Rock,15,64,2000-05-06
4818,2000, Britney Spears,From The Bottom O...,4:30,Rock,16,81,2000-05-13
5135,2000, Britney Spears,From The Bottom O...,4:30,Rock,17,97,2000-05-20
5452,2000, Britney Spears,From The Bottom O...,4:30,Rock,18,92,2000-05-27
5769,2000, Britney Spears,From The Bottom O...,4:30,Rock,19,86,2000-06-03
6086,2000, Britney Spears,From The Bottom O...,4:30,Rock,20,90,2000-06-10
93,2000, Britney Spears,Lucky,3:23,Rock,1,61,2000-08-12
410,2000, Britney Spears,Lucky,3:23,Rock,2,41,2000-08-19
727,2000, Britney Spears,Lucky,3:23,Rock,3,28,2000-08-26
1044,2000, Britney Spears,Lucky,3:23,Rock,4,26,2000-09-02
1361,2000, Britney Spears,Lucky,3:23,Rock,5,23,2000-09-09
1678,2000, Britney Spears,Lucky,3:23,Rock,6,29,2000-09-16
1995,2000, Britney Spears,Lucky,3:23,Rock,7,30,2000-09-23
2312,2000, Britney Spears,Lucky,3:23,Rock,8,40,2000-09-30
2629,2000, Britney Spears,Lucky,3:23,Rock,9,66,2000-10-07
2946,2000, Britney Spears,Lucky,3:23,Rock,10,86,2000-10-14
3263,2000, Britney Spears,Lucky,3:23,Rock,11,100,2000-10-21
51,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,1,67,2000-04-22
368,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,2,38,2000-04-29
685,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,3,26,2000-05-06
1002,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,4,19,2000-05-13
1319,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,5,15,2000-05-20
1636,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,6,13,2000-05-27
1953,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,7,12,2000-06-03
2270,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,8,9,2000-06-10
2587,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,9,9,2000-06-17
2904,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,10,10,2000-06-24
3221,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,11,14,2000-07-01
3538,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,12,15,2000-07-08
3855,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,13,17,2000-07-15
4172,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,14,24,2000-07-22
4489,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,15,35,2000-07-29
4806,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,16,49,2000-08-05
5123,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,17,77,2000-08-12
5440,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,18,85,2000-08-19
5757,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,19,90,2000-08-26
6074,2000, Britney Spears,Oops!.. I Did It ...,3:30,Rock,20,96,2000-09-02
170,2000, Carl Thomas,Emotional,4:31,Rock,1,77,2000-11-25
487,2000, Carl Thomas,Emotional,4:31,Rock,2,63,2000-12-02
804,2000, Carl Thomas,Emotional,4:31,Rock,3,61,2000-12-09
1121,2000, Carl Thomas,Emotional,4:31,Rock,4,58,2000-12-16
1438,2000, Carl Thomas,Emotional,4:31,Rock,5,54,2000-12-23
1755,2000, Carl Thomas,Emotional,4:31,Rock,6,47,2000-12-30
2072,2000, Carl Thomas,Emotional,4:31,Rock,7,53,2001-01-06
2389,2000, Carl Thomas,Emotional,4:31,Rock,8,52,2001-01-13
2706,2000, Carl Thomas,Emotional,4:31,Rock,9,49,2001-01-20
3023,2000, Carl Thomas,Emotional,4:31,Rock,10,52,2001-01-27
3340,2000, Carl Thomas,Emotional,4:31,Rock,11,60,2001-02-03
3657,2000, Carl Thomas,Emotional,4:31,Rock,12,62,2001-02-10
3974,2000, Carl Thomas,Emotional,4:31,Rock,13,69,2001-02-17
4291,2000, Carl Thomas,Emotional,4:31,Rock,14,69,2001-02-24
4608,2000, Carl Thomas,Emotional,4:31,Rock,15,63,2001-03-03
4925,2000, Carl Thomas,Emotional,4:31,Rock,16,76,2001-03-10
5242,2000, Carl Thomas,Emotional,4:31,Rock,17,87,2001-03-17
5559,2000, Carl Thomas,Emotional,4:31,Rock,18,82,2001-03-24
5876,2000, Carl Thomas,Emotional,4:31,Rock,19,91,2001-03-31
6193,2000, Carl Thomas,Emotional,4:31,Rock,20,99,2001-04-07
79,2000, Carl Thomas,I Wish,3:50,Rock,1,75,2000-03-25
396,2000, Carl Thomas,I Wish,3:50,Rock,2,64,2000-04-01
713,2000, Carl Thomas,I Wish,3:50,Rock,3,48,2000-04-08
1030,2000, Carl Thomas,I Wish,3:50,Rock,4,39,2000-04-15
1347,2000, Carl Thomas,I Wish,3:50,Rock,5,32,2000-04-22
1664,2000, Carl Thomas,I Wish,3:50,Rock,6,28,2000-04-29
1981,2000, Carl Thomas,I Wish,3:50,Rock,7,24,2000-05-06
2298,2000, Carl Thomas,I Wish,3:50,Rock,8,20,2000-05-13
2615,2000, Carl Thomas,I Wish,3:50,Rock,9,22,2000-05-20
2932,2000, Carl Thomas,I Wish,3:50,Rock,10,21,2000-05-27
3249,2000, Carl Thomas,I Wish,3:50,Rock,11,22,2000-06-03
3566,2000, Carl Thomas,I Wish,3:50,Rock,12,26,2000-06-10
3883,2000, Carl Thomas,I Wish,3:50,Rock,13,23,2000-06-17
4200,2000, Carl Thomas,I Wish,3:50,Rock,14,24,2000-06-24
4517,2000, Carl Thomas,I Wish,3:50,Rock,15,27,2000-07-01
4834,2000, Carl Thomas,I Wish,3:50,Rock,16,28,2000-07-08
5151,2000, Carl Thomas,I Wish,3:50,Rock,17,42,2000-07-15
5468,2000, Carl Thomas,I Wish,3:50,Rock,18,44,2000-07-22
5785,2000, Carl Thomas,I Wish,3:50,Rock,19,52,2000-07-29
6102,2000, Carl Thomas,I Wish,3:50,Rock,20,67,2000-08-05
276,2000, Carl Thomas,Summer Rain,4:57,Rock,1,82,2000-09-23
593,2000, Carl Thomas,Summer Rain,4:57,Rock,2,82,2000-09-30
910,2000, Carl Thomas,Summer Rain,4:57,Rock,3,86,2000-10-07
1227,2000, Carl Thomas,Summer Rain,4:57,Rock,4,80,2000-10-14
1544,2000, Carl Thomas,Summer Rain,4:57,Rock,5,82,2000-10-21
1861,2000, Carl Thomas,Summer Rain,4:57,Rock,6,83,2000-10-28
2178,2000, Carl Thomas,Summer Rain,4:57,Rock,7,84,2000-11-04
2495,2000, Carl Thomas,Summer Rain,4:57,Rock,8,82,2000-11-11
2812,2000, Carl Thomas,Summer Rain,4:57,Rock,9,88,2000-11-18
3129,2000, Carl Thomas,Summer Rain,4:57,Rock,10,94,2000-11-25
3446,2000, Carl Thomas,Summer Rain,4:57,Rock,11,95,2000-12-02
41,2000, Celine Dion,That's The Way It Is,4:03,Rock,1,74,1999-11-13
358,2000, Celine Dion,That's The Way It Is,4:03,Rock,2,68,1999-11-20
675,2000, Celine Dion,That's The Way It Is,4:03,Rock,3,65,1999-11-27
992,2000, Celine Dion,That's The Way It Is,4:03,Rock,4,49,1999-12-04
1309,2000, Celine Dion,That's The Way It Is,4:03,Rock,5,44,1999-12-11
1626,2000, Celine Dion,That's The Way It Is,4:03,Rock,6,34,1999-12-18
1943,2000, Celine Dion,That's The Way It Is,4:03,Rock,7,30,1999-12-25
2260,2000, Celine Dion,That's The Way It Is,4:03,Rock,8,30,2000-01-01
2577,2000, Celine Dion,That's The Way It Is,4:03,Rock,9,17,2000-01-08
2894,2000, Celine Dion,That's The Way It Is,4:03,Rock,10,14,2000-01-15
3211,2000, Celine Dion,That's The Way It Is,4:03,Rock,11,11,2000-01-22
3528,2000, Celine Dion,That's The Way It Is,4:03,Rock,12,8,2000-01-29
3845,2000, Celine Dion,That's The Way It Is,4:03,Rock,13,9,2000-02-05
4162,2000, Celine Dion,That's The Way It Is,4:03,Rock,14,10,2000-02-12
4479,2000, Celine Dion,That's The Way It Is,4:03,Rock,15,11,2000-02-19
4796,2000, Celine Dion,That's The Way It Is,4:03,Rock,16,11,2000-02-26
5113,2000, Celine Dion,That's The Way It Is,4:03,Rock,17,6,2000-03-04
5430,2000, Celine Dion,That's The Way It Is,4:03,Rock,18,8,2000-03-11
5747,2000, Celine Dion,That's The Way It Is,4:03,Rock,19,7,2000-03-18
6064,2000, Celine Dion,That's The Way It Is,4:03,Rock,20,7,2000-03-25
6381,2000, Celine Dion,That's The Way It Is,4:03,Rock,21,9,2000-04-01
6698,2000, Celine Dion,That's The Way It Is,4:03,Rock,22,10,2000-04-08
7015,2000, Celine Dion,That's The Way It Is,4:03,Rock,23,14,2000-04-15
7332,2000, Celine Dion,That's The Way It Is,4:03,Rock,24,16,2000-04-22
7649,2000, Celine Dion,That's The Way It Is,4:03,Rock,25,26,2000-04-29
7966,2000, Celine Dion,That's The Way It Is,4:03,Rock,26,31,2000-05-06
8283,2000, Celine Dion,That's The Way It Is,4:03,Rock,27,35,2000-05-13
8600,2000, Celine Dion,That's The Way It Is,4:03,Rock,28,42,2000-05-20
260,2000, Chad Brock,A Country Boy Can...,3:54,Country,1,93,2000-01-01
577,2000, Chad Brock,A Country Boy Can...,3:54,Country,2,75,2000-01-08
894,2000, Chad Brock,A Country Boy Can...,3:54,Country,3,92,2000-01-15
86,2000, Chad Brock,Yes!,3:22,Country,1,90,2000-04-08
403,2000, Chad Brock,Yes!,3:22,Country,2,77,2000-04-15
720,2000, Chad Brock,Yes!,3:22,Country,3,66,2000-04-22
1037,2000, Chad Brock,Yes!,3:22,Country,4,61,2000-04-29
1354,2000, Chad Brock,Yes!,3:22,Country,5,59,2000-05-06
1671,2000, Chad Brock,Yes!,3:22,Country,6,47,2000-05-13
1988,2000, Chad Brock,Yes!,3:22,Country,7,39,2000-05-20
2305,2000, Chad Brock,Yes!,3:22,Country,8,33,2000-05-27
2622,2000, Chad Brock,Yes!,3:22,Country,9,32,2000-06-03
2939,2000, Chad Brock,Yes!,3:22,Country,10,31,2000-06-10
3256,2000, Chad Brock,Yes!,3:22,Country,11,28,2000-06-17
3573,2000, Chad Brock,Yes!,3:22,Country,12,27,2000-06-24
3890,2000, Chad Brock,Yes!,3:22,Country,13,22,2000-07-01
4207,2000, Chad Brock,Yes!,3:22,Country,14,27,2000-07-08
4524,2000, Chad Brock,Yes!,3:22,Country,15,31,2000-07-15
4841,2000, Chad Brock,Yes!,3:22,Country,16,39,2000-07-22
5158,2000, Chad Brock,Yes!,3:22,Country,17,45,2000-07-29
